,id,이름,시즌,포지션,나이,게임,타석,타수,득점,안타,2타,3타,홈런,루타,타점,볼넷,사구,고4,희타,희비,도루,도실,삼진,병살,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,타구속도,타구발사각,배럴개수,배럴비율
25,61743,오준혁,2018,LF,26,30,50,44,6,6,0,0,0,6,2,3,1,0,1,1,1,1,11,1,0.136,0.204,0.136,0.33999999999999997,0.168,-19.3,-0.59,-0.63,125.41424242424245,19.751515151515157,1.0,0.030303030303030307
27,61869,정진기,2018,CF,25,96,212,201,33,49,8,1,3,68,17,6,2,0,3,0,11,3,45,2,0.244,0.273,0.338,0.611,0.274,46.6,-0.54,0.26,125.73068702290077,19.019083969465647,13.0,0.09923664122137403
28,62016,윤병호,2018,CF,29,14,37,33,3,6,1,0,0,7,0,2,1,0,1,0,1,0,10,0,0.182,0.25,0.212,0.46199999999999997,0.22,14.5,-0.22,-0.21,132.54666666666668,17.92777777777778,1.0,0.05555555555555555
29,62025,이원재,2018,LF,29,77,150,138,12,42,10,0,5,67,19,10,0,0,0,2,0,2,33,3,0.304,0.347,0.486,0.833,0.365,107.4,0.47,-0.17,132.11630000000005,12.727,15.0,0.15
30,62164,서상우,2018,미정,28,51,84,69,10,20,0,0,2,26,14,12,1,0,0,2,0,1,18,1,0.29,0.393,0.377,0.77,0.352,106.5,0.32,-0.01,137.02524999999997,13.392500000000002,9.0,0.225
31,62234,류지혁,2018,SS,24,128,280,228,52,61,7,0,1,71,29,29,10,0,11,2,7,2,43,3,0.268,0.372,0.311,0.683,0.321,77.7,0.67,1.15,120.02415730337084,7.723033707865169,10.0,0.05617977528089888
32,62244,박세혁,2018,C,28,89,194,170,37,48,12,0,3,69,22,16,4,0,3,1,5,0,55,0,0.282,0.356,0.406,0.762,0.343,95.0,1.26,-0.66,130.5570642201834,21.443119266055046,16.0,0.14678899082568808
33,62265,유민상,2018,DH,29,31,58,48,9,13,2,1,3,26,14,8,0,0,0,2,0,0,14,3,0.271,0.362,0.542,0.904,0.387,119.5,0.26,-0.11,140.53966666666668,14.213333333333335,3.0,0.1
34,62332,김재현,2018,C,25,116,234,202,22,46,7,0,3,62,18,12,8,0,9,3,0,0,58,2,0.228,0.293,0.307,0.6,0.275,45.5,-0.32,-0.7,120.36937007874019,17.287401574803148,9.0,0.07086614173228346
35,62353,박정음,2018,RF,29,16,17,16,1,1,0,0,1,4,1,0,1,0,0,0,0,0,4,0,0.062,0.118,0.25,0.368,0.167,-25.2,-0.22,-0.62,128.65,25.7,1.0,0.1111111111111111
36,62356,김규민,2018,LF,25,104,336,298,47,88,9,2,3,110,40,27,6,0,1,4,8,4,89,3,0.295,0.361,0.369,0.73,0.331,90.1,0.79,1.73,127.45655555555562,10.920555555555556,10.0,0.05555555555555555
37,62404,구자욱,2018,RF,25,116,529,478,100,159,26,5,20,255,84,43,5,2,1,2,10,0,110,4,0.333,0.392,0.533,0.925,0.405,131.9,3.91,4.23,134.7666876971609,16.045425867507895,43.0,0.13564668769716087
38,62409,박찬도,2018,RF,29,54,82,73,13,17,4,1,0,23,5,8,0,0,1,0,3,3,28,0,0.233,0.309,0.315,0.624,0.286,59.2,-0.14,0.09,130.97911764705879,13.994117647058824,2.0,0.05882352941176471
39,62415,박해민,2018,CF,28,144,649,576,114,172,30,10,9,249,68,56,3,0,8,6,36,10,99,9,0.299,0.36,0.432,0.792,0.352,99.1,3.2,1.95,125.19004761904756,16.30833333333334,21.0,0.05
40,62556,신본기,2018,SS,29,139,479,425,55,125,28,1,11,188,71,33,11,2,5,5,1,5,95,12,0.294,0.357,0.442,0.7989999999999999,0.354,98.4,1.87,0.62,129.8523048327138,14.645353159851293,23.0,0.08550185873605948
41,62700,하주석,2018,SS,24,141,517,484,67,123,20,3,9,176,52,28,4,0,1,0,14,12,130,7,0.254,0.3,0.364,0.6639999999999999,0.298,64.3,0.26,-1.46,129.35302158273373,10.019064748201435,30.0,0.1079136690647482
42,62797,양성우,2018,LF,29,73,236,209,32,53,9,0,2,68,13,22,4,2,0,1,1,1,32,8,0.254,0.335,0.325,0.66,0.301,69.8,-0.12,-0.19,125.85477124183005,15.118954248366013,7.0,0.0457516339869281
43,62802,박승욱,2018,SS,25,51,79,65,11,20,3,0,0,23,9,10,2,0,2,0,4,1,16,1,0.308,0.416,0.354,0.77,0.358,105.0,0.53,0.05,126.84093023255812,9.344186046511627,3.0,0.06976744186046513
44,62864,김민식,2018,C,29,125,365,310,53,76,9,3,6,109,37,39,3,0,11,2,5,2,63,8,0.245,0.333,0.352,0.685,0.313,71.1,0.84,-0.92,126.60057522123896,15.680530973451338,12.0,0.05309734513274336
45,62884,최항,2018,2B,24,98,257,222,38,65,12,1,7,100,35,25,8,0,2,0,2,2,57,1,0.293,0.384,0.45,0.8340000000000001,0.375,113.0,1.37,0.05,125.96639455782312,15.706122448979595,21.0,0.14285714285714285
46,62893,최정민,2018,2B,29,57,95,83,17,21,2,0,2,29,6,7,1,0,4,0,1,3,20,2,0.253,0.319,0.349,0.6679999999999999,0.305,63.0,-0.07,-0.36,117.74333333333333,-1.4025641025641022,1.0,0.02564102564102564
47,62895,한동민,2018,RF,28,136,562,486,97,138,31,0,41,292,115,52,16,3,0,8,4,2,124,10,0.284,0.367,0.601,0.968,0.415,129.8,3.53,4.03,137.4910736196319,20.84570552147239,79.0,0.2423312883435583
48,62907,박민우,2018,2B,25,115,460,411,68,133,22,5,5,180,33,32,10,3,3,4,17,5,51,4,0.324,0.383,0.438,0.821,0.364,112.9,2.93,0.96,129.27333333333334,10.343710691823896,10.0,0.031446540880503145
49,62908,황윤호,2018,SS,24,82,62,57,11,9,1,0,0,10,4,0,3,0,2,0,2,2,6,2,0.158,0.2,0.175,0.375,0.178,-14.3,-0.7,0.02,119.93340909090912,21.625,0.0,0.0
50,62917,강구성,2018,미정,25,4,5,5,0,1,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6000000000000001,0.257,,-0.02,-0.12,147.81,27.3,1.0,1.0
51,62921,박헌욱,2018,CF,25,10,23,22,1,6,2,0,1,11,3,1,0,0,0,0,1,0,5,1,0.273,0.304,0.5,0.804,0.351,,0.1,-0.1,121.766875,17.618750000000006,2.0,0.125
52,62925,강진성,2018,LF,24,45,75,68,5,16,3,0,0,19,1,4,0,0,2,1,0,0,17,3,0.235,0.274,0.279,0.553,0.251,35.2,-0.38,-1.0,117.54541666666668,15.35,1.0,0.02083333333333333
53,62931,노진혁,2018,3B,28,125,458,420,52,119,21,4,11,181,42,33,2,0,1,2,4,3,92,8,0.283,0.337,0.431,0.768,0.341,95.1,1.7,0.72,133.84224489795923,15.276870748299336,51.0,0.17346938775510204
54,62934,김성욱,2018,CF,25,111,358,323,49,84,13,2,13,140,45,29,1,0,2,3,11,2,64,10,0.26,0.32,0.433,0.753,0.334,86.0,1.04,0.42,129.55259911894274,18.77312775330398,25.0,0.11013215859030837
55,62947,나성범,2018,RF,28,144,620,556,110,177,36,3,23,288,91,44,15,4,0,5,15,2,131,11,0.318,0.381,0.518,0.899,0.393,126.6,4.51,4.73,136.5819251336899,14.299732620320848,76.0,0.20320855614973266
56,63088,김진곤,2018,RF,30,19,23,21,4,3,1,0,0,4,0,2,0,0,0,0,0,2,3,0,0.143,0.217,0.19,0.40700000000000003,0.195,-2.0,-0.29,-0.19,119.75538461538464,16.861538461538462,2.0,0.15384615384615385
57,63123,강승호,2018,2B,24,69,212,184,14,47,10,0,3,66,31,18,3,0,6,1,1,1,57,2,0.255,0.33,0.359,0.6890000000000001,0.313,,-0.02,-0.23,126.24472727272725,22.27818181818181,16.0,0.14545454545454545
58,63202,장승현,2018,C,24,20,16,13,2,5,0,0,0,5,1,1,0,0,2,0,0,0,2,2,0.385,0.429,0.385,0.8140000000000001,0.371,,0.08,-0.13,124.80500000000002,6.069999999999999,0.0,0.0
59,63257,김인태,2018,RF,24,46,109,95,16,25,7,0,1,35,10,12,0,0,1,1,0,0,26,0,0.263,0.343,0.368,0.7110000000000001,0.322,,0.11,0.65,133.91887096774195,16.437096774193545,8.0,0.12903225806451613
60,63260,이우성,2018,LF,23,71,199,177,24,40,9,0,4,61,24,16,4,0,1,1,1,2,57,6,0.226,0.303,0.345,0.6479999999999999,0.295,63.7,-0.48,-0.46,128.1646601941747,13.994174757281554,12.0,0.11650485436893206
61,63360,장시윤,2018,3B,24,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.05,-0.03,125.73,-16.5,0.0,0.0
62,63440,이흥련,2018,C,29,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.16,-0.07,106.98166666666668,38.266666666666666,0.0,0.0
63,63448,김영환,2018,미정,25,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.1,-0.09,132.41,30.399999999999995,0.0,0.0
64,63450,정현,2018,SS,24,65,132,117,16,31,7,0,2,44,9,9,0,0,6,0,3,0,28,3,0.265,0.317,0.376,0.6930000000000001,0.312,63.2,-0.07,-1.26,120.63098765432102,17.154320987654323,4.0,0.04938271604938271
65,63593,조홍석,2018,CF,28,39,71,62,14,14,1,0,0,15,1,6,2,0,1,0,0,2,13,2,0.226,0.314,0.242,0.556,0.266,46.8,-0.29,0.05,122.16416666666667,8.502777777777778,2.0,0.05555555555555555
66,63704,노수광,2018,CF,27,135,588,515,93,161,21,8,8,222,53,48,13,0,9,3,25,4,86,3,0.313,0.383,0.431,0.8140000000000001,0.365,107.9,3.03,3.46,123.85890052356024,13.947643979057592,15.0,0.03926701570680628
67,63722,한승택,2018,C,24,61,101,89,10,22,6,0,3,37,15,7,2,0,3,0,0,0,24,4,0.247,0.316,0.416,0.732,0.328,77.5,0.33,-0.7,127.08172413793106,17.98275862068965,5.0,0.08620689655172414
68,63905,윤대영,2018,1B,24,11,23,23,0,5,1,0,0,6,3,0,0,0,0,0,0,0,9,0,0.217,0.217,0.261,0.478,0.212,10.7,-0.28,-0.04,134.12384615384616,22.19230769230769,4.0,0.3076923076923077
69,63963,권희동,2018,LF,27,104,391,343,43,97,19,1,8,142,57,35,4,2,5,4,1,3,58,5,0.283,0.352,0.414,0.766,0.341,92.3,0.92,1.78,130.58481343283592,21.04440298507463,15.0,0.05597014925373135
70,64006,심우준,2018,SS,23,135,403,367,49,95,23,3,4,136,29,20,4,1,11,1,11,11,58,4,0.259,0.304,0.371,0.675,0.301,59.5,-0.09,-0.42,119.90831460674153,17.593632958801496,11.0,0.041198501872659166
71,64012,송민섭,2018,LF,26,47,29,27,7,4,0,0,0,4,0,1,0,0,1,0,2,1,8,1,0.148,0.179,0.148,0.32699999999999996,0.153,-31.6,-0.41,-0.38,139.3935294117647,19.86470588235294,1.0,0.05882352941176471
72,64022,안중열,2018,C,22,60,176,154,19,38,11,0,4,61,18,12,3,0,7,0,0,0,56,4,0.247,0.314,0.396,0.71,0.319,68.4,0.49,-0.41,128.579625,10.04125,11.0,0.1375
73,64086,신성현,2018,1B,27,16,27,24,5,4,0,0,1,7,2,2,0,0,0,1,0,0,9,1,0.167,0.222,0.292,0.514,0.23,22.4,-0.21,-0.28,129.17133333333334,28.11333333333333,2.0,0.13333333333333333
74,64117,양원혁,2018,2B,26,7,6,5,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.4,0.5,0.4,0.9,0.416,,0.09,-0.02,106.908,-4.7799999999999985,0.0,0.0
75,64153,양석환,2018,3B,26,140,519,483,53,127,27,0,22,220,82,24,6,0,1,5,2,2,81,9,0.263,0.303,0.455,0.758,0.333,89.6,1.37,0.37,131.9029411764705,23.782352941176477,64.0,0.1792717086834734
76,64166,배정대,2018,RF,23,14,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,0.18,-11.1,-0.1,-0.11,134.005,31.1,0.0,0.0
77,64266,이성곤,2018,DH,26,9,19,16,1,3,0,0,0,3,0,3,0,0,0,0,0,0,7,1,0.188,0.316,0.188,0.504,0.252,43.4,-0.09,-0.27,132.495,25.7375,1.0,0.125
78,64300,김하성,2018,SS,22,129,576,511,95,147,27,4,20,242,84,54,5,2,1,5,8,2,81,16,0.288,0.358,0.474,0.832,0.366,108.5,3.56,1.01,133.9061154855643,22.478477690288702,55.0,0.14435695538057744
79,64346,임병욱,2018,CF,22,134,447,423,76,124,29,3,13,198,60,22,0,1,0,2,16,3,119,6,0.293,0.327,0.468,0.795,0.348,96.3,2.14,0.7,133.32000000000002,11.86782608695652,35.0,0.15217391304347827
80,64407,김호재,2018,SS,23,10,7,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0.167,0.167,0.167,0.334,0.15,-42.7,-0.14,-0.09,100.254,16.339999999999996,0.0,0.0
81,64410,백승민,2018,1B,28,14,32,31,3,8,2,0,0,10,5,1,0,0,0,0,0,0,9,1,0.258,0.281,0.323,0.6040000000000001,0.271,51.1,-0.11,0.2,125.30105263157894,12.321052631578945,1.0,0.05263157894736842
82,64469,송준석,2018,미정,24,4,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333,0.666,0.3,,0.02,-0.0,137.55,15.5,0.0,0.0
83,64504,오윤석,2018,3B,26,13,13,12,3,2,0,0,0,2,0,1,0,0,0,0,0,0,5,1,0.167,0.231,0.167,0.398,0.192,-0.8,-0.15,-0.25,128.98285714285714,12.914285714285713,0.0,0.0
84,64560,이창진,2018,LF,27,20,30,29,5,5,1,0,0,6,0,0,1,0,0,0,0,1,3,2,0.172,0.2,0.207,0.40700000000000003,0.187,-6.6,-0.3,-0.37,120.42461538461541,19.330769230769235,0.0,0.0
85,64610,강한울,2018,2B,26,83,209,193,20,50,5,2,0,59,8,12,1,0,3,0,3,4,34,1,0.259,0.306,0.306,0.612,0.279,55.0,-0.28,-1.19,123.36883333333336,9.515,0.0,0.0
86,64657,박준태,2018,RF,26,85,150,123,32,28,5,1,5,50,24,13,9,0,5,0,0,2,37,1,0.228,0.345,0.407,0.752,0.342,86.1,0.21,0.15,122.32782051282051,19.896153846153847,11.0,0.14102564102564102
87,64717,지성준,2018,C,24,99,224,207,22,57,7,0,7,85,29,12,2,0,2,1,1,0,55,6,0.275,0.32,0.411,0.731,0.326,78.7,0.61,2.43,134.75854014598536,19.41167883211678,19.0,0.1386861313868613
88,64724,박준혁,2018,RF,27,4,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6000000000000001,0.257,,-0.03,-0.09,138.065,27.15,0.0,0.0
89,64793,김민수,2018,C,27,8,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.167,0.167,0.167,0.334,0.15,-27.9,-0.06,-0.09,133.195,11.9,0.0,0.0
90,64868,조용호,2018,LF,28,16,14,13,4,1,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0.077,0.077,0.077,0.154,0.069,-87.9,-0.34,-0.2,139.49,3.0250000000000004,0.0,0.0
91,64906,강민국,2018,미정,26,6,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0.225,,-0.03,-0.0,121.9325,-5.800000000000002,0.0,0.0
92,64944,박광열,2018,C,22,27,30,25,3,4,0,0,0,4,1,4,0,0,1,0,0,0,9,0,0.16,0.276,0.16,0.43600000000000005,0.221,15.4,-0.17,-0.35,128.96866666666668,9.52,1.0,0.06666666666666668
93,64984,김태진,2018,3B,22,20,35,31,5,11,0,0,1,14,3,3,0,0,1,0,1,2,5,0,0.355,0.412,0.452,0.864,0.388,121.2,0.18,-0.02,121.68086956521738,17.639130434782604,0.0,0.0
94,65109,백승현,2018,SS,23,5,8,8,1,2,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25,0.5,0.225,20.5,-0.05,0.02,137.38000000000002,1.5333333333333332,0.0,0.0
95,65115,안익훈,2018,CF,22,62,135,123,13,27,4,0,0,31,10,8,1,0,2,1,0,1,12,4,0.22,0.271,0.252,0.523,0.242,29.6,-0.7,0.09,123.3868539325843,4.996629213483148,3.0,0.033707865168539325
96,65136,박지규,2018,2B,26,26,53,47,6,8,2,0,1,13,5,3,0,0,2,1,2,0,17,2,0.17,0.216,0.277,0.493,0.221,11.0,-0.37,-0.38,129.41115384615387,11.511538461538462,3.0,0.1153846153846154
97,65269,김민혁,2018,DH,22,22,58,53,7,12,2,0,2,20,10,5,0,0,0,0,0,0,19,3,0.226,0.293,0.377,0.6699999999999999,0.302,69.8,-0.06,0.2,133.86,11.865517241379314,5.0,0.1724137931034483
98,65357,송성문,2018,2B,21,78,238,211,35,66,19,0,7,106,45,24,0,0,2,1,2,4,49,2,0.313,0.381,0.502,0.883,0.39,122.2,1.55,1.34,131.0966428571429,14.891428571428573,14.0,0.1
99,65399,허정협,2018,미정,28,25,24,24,4,6,2,0,0,8,2,0,0,0,0,0,0,0,7,1,0.25,0.25,0.333,0.583,0.257,37.8,-0.07,-0.25,131.5006666666667,19.133333333333333,1.0,0.06666666666666668
100,65412,권정웅,2018,C,25,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.19,-0.09,133.52,28.314285714285717,0.0,0.0
101,65586,전병우,2018,3B,25,27,77,66,18,24,7,0,3,40,13,9,1,0,0,1,3,0,24,1,0.364,0.442,0.606,1.048,0.454,163.5,1.02,0.75,134.95282051282052,15.812820512820512,11.0,0.28205128205128205
103,66052,남태혁,2018,미정,27,7,11,11,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.182,0.182,0.182,0.364,0.163,-21.8,-0.14,-0.15,141.88333333333333,10.2,0.0,0.0
104,66108,홍창기,2018,LF,24,12,25,18,1,3,2,0,0,5,0,7,0,0,0,0,0,1,8,0,0.167,0.4,0.278,0.678,0.335,96.1,-0.05,-0.02,144.79500000000004,9.775,3.0,0.375
105,66207,황경태,2018,3B,21,27,13,13,9,3,2,0,0,5,0,0,0,0,0,0,0,1,3,0,0.231,0.231,0.385,0.616,0.267,44.5,-0.13,-0.23,120.35125,5.6875,0.0,0.0
106,66209,조수행,2018,CF,24,119,198,183,35,51,6,4,1,68,17,9,0,0,5,1,9,0,33,4,0.279,0.311,0.372,0.683,0.304,,0.12,-0.02,122.22536231884052,7.878260869565209,1.0,0.007246376811594203
107,66354,주효상,2018,C,20,80,126,110,9,24,3,0,1,30,12,10,2,0,4,0,1,2,36,2,0.218,0.295,0.273,0.5680000000000001,0.266,41.6,-0.29,0.17,124.58015873015873,12.880952380952385,2.0,0.031746031746031744
108,66392,김종덕,2018,C,25,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.45,,0.03,-0.0,124.74,34.65,0.0,0.0
109,66406,안주형,2018,2B,24,15,8,8,2,2,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25,0.5,0.225,23.7,-0.15,-0.16,126.86,9.9,1.0,0.3333333333333333
110,66462,김성훈,2018,2B,24,110,212,185,24,45,9,3,0,60,24,16,6,0,3,2,12,6,23,2,0.243,0.321,0.324,0.645,0.295,,0.02,0.12,116.39904761904758,11.576984126984124,0.0,0.0
111,66508,나경민,2018,CF,26,87,71,57,23,15,2,0,0,17,1,10,3,0,1,0,12,4,21,0,0.263,0.4,0.298,0.698,0.335,92.2,0.3,-0.22,124.50687500000002,7.303125,0.0,0.0
112,66606,최원준,2018,SS,21,101,331,302,46,82,14,1,4,110,32,20,4,0,4,1,10,4,58,4,0.272,0.324,0.364,0.688,0.311,73.7,0.28,1.02,126.39633663366337,9.153465346534654,13.0,0.06435643564356436
113,66615,류승현,2018,3B,21,35,85,75,9,23,3,1,1,31,13,7,1,0,1,1,0,0,12,2,0.307,0.369,0.413,0.782,0.35,99.6,0.34,0.36,123.43924528301888,14.713207547169812,5.0,0.09433962264150944
114,66662,신범수,2018,C,20,19,26,25,0,4,2,1,0,8,4,0,0,0,0,1,0,0,7,1,0.16,0.154,0.32,0.474,0.196,-5.9,-0.2,-0.18,132.8705263157895,27.21578947368421,1.0,0.05263157894736842
115,66702,이동훈,2018,LF,21,28,50,46,6,11,1,0,1,15,2,3,1,0,0,0,0,1,8,1,0.239,0.3,0.326,0.626,0.286,57.6,-0.17,-0.33,125.76821428571422,8.132142857142856,0.0,0.0
116,66704,김태연,2018,3B,21,24,30,26,7,5,1,0,0,6,2,3,0,0,1,0,0,1,8,0,0.192,0.276,0.231,0.507,0.241,25.6,-0.1,0.14,132.89,14.885714285714286,1.0,0.07142857142857142
117,66706,장진혁,2018,LF,24,50,48,42,9,9,4,1,0,15,2,4,2,0,0,0,1,2,11,0,0.214,0.312,0.357,0.669,0.305,69.2,-0.2,0.03,139.59344827586204,11.396551724137929,6.0,0.20689655172413796
118,66710,강상원,2018,RF,21,6,7,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0.0,0.143,0.0,0.143,0.1,-63.9,-0.11,-0.04,91.35,44.33333333333334,0.0,0.0
119,66715,김인환,2018,미정,24,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.16,-0.02,100.44,10.45,0.0,0.0
120,66716,정경운,2018,2B,24,22,16,15,1,1,0,0,0,1,2,0,0,0,0,1,0,0,7,1,0.067,0.062,0.067,0.129,0.056,-92.5,-0.32,-0.42,128.64714285714288,23.67142857142857,0.0,0.0
121,66838,김동엽,2018,LF,27,124,446,421,58,106,15,0,27,202,76,17,4,0,1,3,11,2,108,13,0.252,0.285,0.48,0.7649999999999999,0.334,77.8,-0.06,0.16,133.76375438596486,16.509824561403505,49.0,0.17192982456140352
122,66864,안상현,2018,미정,21,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.45,,0.03,0.0,139.79,14.45,1.0,0.5
