GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD
2020,62234,25,51,42,0.381,16,1,22,0.524,2,1,6,0,5,3
2020,62244,124,423,360,0.269,97,4,131,0.364,7,35,45,0,12,7
2020,62265,126,456,391,0.246,96,8,143,0.366,4,53,80,1,6,14
2020,62332,4,3,3,0.000,0,0,0,0.000,0,0,2,0,0,0
2020,62353,86,47,43,0.186,8,0,10,0.233,0,2,14,0,2,0
2020,62356,54,111,101,0.208,21,1,28,0.277,1,5,24,0,1,3
2020,62404,118,510,446,0.307,137,15,213,0.478,4,51,91,3,8,4
2020,62409,51,116,96,0.219,21,1,29,0.302,2,15,22,1,1,2
2020,62415,132,541,489,0.290,142,11,203,0.415,3,39,77,1,3,7
2020,62537,4,4,4,0.250,1,0,1,0.250,0,0,2,0,0,0
2020,62556,81,123,106,0.217,23,2,30,0.283,1,14,22,0,1,3
2020,62558,128,369,306,0.225,69,5,100,0.327,3,56,64,0,1,5
2020,62700,72,281,262,0.286,75,2,92,0.351,2,13,66,0,2,3
2020,62797,5,9,9,0.222,2,0,2,0.222,0,0,3,0,0,0
2020,62802,97,128,110,0.264,29,1,39,0.355,1,11,37,0,4,1
2020,62864,69,238,211,0.251,53,2,67,0.318,2,17,28,0,2,3
2020,62884,47,155,132,0.265,35,2,44,0.333,1,21,27,1,1,3
2020,62893,24,11,9,0.111,1,0,1,0.111,0,2,1,0,0,0
2020,62895,62,231,193,0.249,48,15,98,0.508,2,30,49,1,6,8
2020,62907,126,530,467,0.345,161,8,222,0.475,10,36,48,2,15,12
2020,62908,25,73,70,0.243,17,0,20,0.286,0,3,10,0,0,3
2020,62925,121,432,395,0.309,122,12,183,0.463,6,20,46,0,9,11
2020,62931,132,484,427,0.274,117,20,205,0.480,0,49,106,3,5,8
2020,62934,104,225,195,0.221,43,8,73,0.374,2,17,40,0,4,0
2020,62947,130,584,525,0.324,170,34,313,0.596,1,49,148,2,9,6
2020,63202,23,22,20,0.250,5,0,8,0.400,0,1,6,0,1,2
2020,63257,77,110,84,0.202,17,1,25,0.298,1,21,13,0,2,3
2020,63260,48,67,59,0.203,12,0,13,0.220,0,6,11,0,2,2
2020,63339,12,5,4,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,63435,15,8,8,0.125,1,0,1,0.125,0,0,2,0,0,0
2020,63440,49,132,125,0.240,30,3,40,0.320,1,6,29,0,0,5
2020,63448,14,18,16,0.000,0,0,0,0.000,0,1,5,0,0,0
2020,63450,89,128,112,0.152,17,2,27,0.241,0,11,34,0,2,3
2020,63559,27,19,16,0.188,3,0,4,0.250,0,1,4,0,2,0
2020,63634,49,96,84,0.190,16,3,27,0.321,1,6,26,0,3,3
2020,63636,7,13,13,0.231,3,0,3,0.231,0,0,5,0,0,0
2020,63700,24,29,27,0.148,4,1,8,0.296,0,2,9,0,0,0
2020,63703,13,24,20,0.150,3,0,3,0.150,0,2,8,0,0,2
2020,63704,100,330,291,0.251,73,1,92,0.316,1,34,64,2,2,2
2020,63722,83,262,226,0.226,51,9,84,0.372,0,21,58,0,6,7
2020,63903,4,3,3,0.000,0,0,0,0.000,0,0,0,0,0,0
2020,63913,6,6,6,0.000,0,0,0,0.000,0,0,4,0,0,1
2020,63920,45,75,65,0.215,14,1,18,0.277,0,10,9,0,0,3
2020,63963,123,426,346,0.260,90,12,142,0.410,5,58,72,0,11,6
2020,64004,108,249,222,0.239,53,5,77,0.347,1,22,42,0,2,4
2020,64006,144,535,476,0.235,112,3,143,0.300,4,37,98,0,2,7
2020,64007,74,172,154,0.260,40,8,71,0.461,2,11,43,0,2,4
2020,64012,114,51,41,0.195,8,1,14,0.341,1,5,13,0,1,0
2020,64014,29,22,21,0.143,3,1,6,0.286,1,0,7,0,0,0
2020,64086,9,7,4,0.250,1,0,2,0.500,0,3,3,0,0,0
2020,64100,15,17,15,0.267,4,0,4,0.267,0,0,4,0,1,2
2020,64101,9,3,2,0.000,0,0,0,0.000,0,1,1,0,0,0
2020,64115,46,68,60,0.217,13,1,19,0.317,1,6,7,0,0,2
2020,64153,40,132,118,0.246,29,3,43,0.364,0,10,25,0,2,1
2020,64166,144,615,533,0.289,154,13,224,0.420,4,68,142,0,5,9
2020,64209,29,36,31,0.161,5,0,7,0.226,0,3,15,0,2,0
2020,64213,28,49,44,0.295,13,0,15,0.341,0,4,8,0,0,2
2020,64260,56,110,105,0.286,30,0,35,0.333,1,3,16,0,0,2
2020,64266,62,154,139,0.281,39,5,61,0.439,2,11,38,0,0,3
2020,64300,138,622,533,0.306,163,30,279,0.523,3,75,68,3,8,12
2020,64340,1,1,1,1.000,1,0,1,1.000,0,0,0,0,0,0
2020,64346,12,41,37,0.270,10,0,14,0.378,0,4,10,1,0,1
2020,64407,65,138,118,0.322,38,1,46,0.390,0,16,19,0,3,1
2020,64410,7,12,9,0.000,0,0,0,0.000,0,1,2,0,2,0
2020,64468,80,175,164,0.195,32,3,48,0.293,1,7,42,0,0,3
2020,64469,32,50,47,0.277,13,1,21,0.447,0,2,6,0,1,4
2020,64499,35,18,14,0.143,2,0,2,0.143,0,3,3,0,0,1
2020,64501,4,7,7,0.000,0,0,0,0.000,0,0,2,0,0,0
2020,64504,63,197,168,0.298,50,4,71,0.423,2,24,47,0,2,2
2020,64560,22,99,88,0.330,29,0,39,0.443,0,10,17,0,1,2
2020,64610,34,122,105,0.305,32,1,38,0.362,1,11,24,0,0,3
2020,64646,141,531,480,0.223,107,3,132,0.275,3,36,87,0,0,14
2020,64657,128,443,347,0.245,85,5,115,0.331,3,65,120,0,19,4
2020,64704,55,113,102,0.216,22,0,28,0.275,0,7,31,0,3,0
2020,64717,3,11,8,0.250,2,0,2,0.250,0,3,4,0,0,0
2020,64793,17,26,23,0.174,4,0,4,0.174,0,2,6,0,0,0
2020,64868,132,482,409,0.296,121,0,136,0.333,2,64,83,1,2,6
2020,64890,28,25,24,0.250,6,1,10,0.417,0,1,7,0,0,2
2020,64906,81,120,107,0.224,24,0,27,0.252,0,7,20,0,0,0
2020,64984,82,280,263,0.236,62,1,72,0.274,1,13,45,0,1,2
2020,65040,2,3,3,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,65096,10,2,1,0.000,0,0,0,0.000,0,1,0,0,0,0
2020,65109,27,39,28,0.250,7,0,8,0.286,0,4,8,0,1,0
2020,65207,68,32,26,0.308,8,0,9,0.346,0,4,4,0,0,1
2020,65304,16,6,4,0.500,2,0,2,0.500,0,1,1,0,1,1
2020,65362,14,15,12,0.000,0,0,0,0.000,0,2,4,0,1,0
2020,65399,111,360,314,0.268,84,10,126,0.401,1,40,73,0,2,7
2020,65412,3,2,1,0.000,0,0,0,0.000,0,1,0,0,0,0
2020,65462,4,2,2,0.500,1,0,2,1.000,0,0,0,0,0,0
2020,65464,38,59,56,0.196,11,1,15,0.268,0,2,15,0,0,0
2020,65503,14,26,25,0.160,4,1,7,0.280,0,1,7,0,0,0
2020,65506,68,133,116,0.259,30,1,34,0.293,0,12,35,0,3,2
2020,65514,14,18,11,0.455,5,2,11,1.000,0,7,2,0,0,1
2020,65515,16,26,21,0.190,4,0,4,0.190,0,4,6,0,1,0
2020,65522,5,4,3,0.000,0,0,0,0.000,0,1,2,0,0,0
2020,65586,119,402,359,0.237,85,8,128,0.357,2,37,100,0,2,7
2020,65610,63,138,116,0.276,32,4,48,0.414,1,21,29,0,0,5
2020,65653,89,159,138,0.232,32,4,53,0.384,1,14,55,0,3,2
2020,65703,14,25,24,0.208,5,0,6,0.250,0,1,6,0,0,0
2020,65869,58,109,101,0.178,18,2,26,0.257,0,4,30,0,2,4
2020,65898,73,235,207,0.275,57,8,94,0.454,3,17,65,1,3,6
2020,66052,35,72,66,0.197,13,1,17,0.258,0,6,22,0,0,2
2020,66108,135,507,408,0.279,114,5,170,0.417,3,83,87,1,10,8
2020,66113,69,112,103,0.243,25,2,36,0.350,0,7,14,0,2,2
2020,66203,40,29,25,0.240,6,0,8,0.320,1,3,7,0,0,0
2020,66209,44,40,38,0.263,10,0,10,0.263,0,2,6,0,0,0
2020,66354,63,101,84,0.190,16,0,20,0.238,1,13,26,0,0,0
2020,66409,98,245,216,0.181,39,10,78,0.361,2,18,64,0,5,7
2020,66606,123,412,359,0.326,117,2,151,0.421,5,33,35,0,6,1
2020,66614,103,182,157,0.178,28,3,41,0.261,0,13,40,0,1,1
2020,66657,32,27,22,0.227,5,0,6,0.273,0,5,9,0,0,1
2020,66702,37,39,38,0.105,4,0,4,0.105,0,0,14,0,1,0
2020,66706,19,37,32,0.156,5,0,7,0.219,0,5,6,0,0,0
2020,66707,38,47,46,0.217,10,0,13,0.283,0,0,16,0,1,1
2020,66838,115,451,413,0.312,129,20,210,0.508,4,29,79,0,4,14
2020,66917,56,72,64,0.297,19,0,25,0.391,1,4,11,0,1,0
2020,66928,32,51,46,0.152,7,0,11,0.239,0,2,17,0,3,2
2020,66965,11,13,11,0.182,2,0,2,0.182,0,2,3,0,0,0
2020,66968,25,10,9,0.444,4,0,5,0.556,0,1,1,0,0,1
2020,67005,40,24,18,0.000,0,0,0,0.000,0,5,5,1,0,0
2020,67025,142,628,550,0.349,192,47,374,0.680,8,65,132,5,5,11
2020,67063,3,2,2,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,67207,101,108,89,0.258,23,0,27,0.303,1,14,25,0,2,2
2020,67304,142,553,499,0.285,142,7,199,0.399,4,46,94,0,2,6
2020,67341,140,617,544,0.333,181,15,285,0.524,8,59,47,6,4,16
2020,67449,9,9,7,0.286,2,0,3,0.429,0,1,1,0,1,0
2020,67504,3,10,8,0.250,2,0,2,0.250,0,2,4,0,0,0
2020,67644,3,4,4,0.000,0,0,0,0.000,0,0,2,0,0,0
2020,67872,139,586,485,0.282,137,32,265,0.546,4,91,116,5,6,5
2020,67893,41,112,99,0.242,24,2,32,0.323,0,11,21,0,1,1
2020,68003,12,2,2,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,68050,129,574,500,0.330,165,23,272,0.544,3,66,93,9,5,7
2020,68106,16,22,20,0.050,1,0,1,0.050,0,2,11,0,0,0
2020,68204,55,57,50,0.260,13,0,15,0.300,2,3,15,0,0,0
2020,68211,3,1,1,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,68305,35,64,62,0.274,17,1,25,0.403,1,1,20,0,0,2
2020,68346,9,12,11,0.182,2,0,3,0.273,0,1,5,0,0,1
2020,68362,13,28,24,0.125,3,0,3,0.125,0,4,8,0,0,0
2020,68504,1,2,2,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,68518,85,152,133,0.150,20,0,22,0.165,1,11,32,0,1,7
2020,68525,135,531,461,0.278,128,17,201,0.436,3,57,97,0,5,15
2020,68701,1,1,1,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,68730,34,134,124,0.194,24,4,40,0.323,0,9,34,0,1,4
2020,68743,79,303,254,0.248,63,3,85,0.335,1,41,41,0,5,4
2020,68868,66,207,182,0.236,43,3,56,0.308,1,19,28,0,0,3
2020,68912,44,82,72,0.306,22,3,32,0.444,0,10,21,0,0,1
2020,69100,125,98,86,0.163,14,1,19,0.221,0,7,18,0,2,2
2020,69209,144,668,586,0.340,199,21,291,0.497,11,58,42,1,13,26
2020,69306,39,50,43,0.233,10,1,16,0.372,0,4,10,0,2,0
2020,69403,7,24,23,0.130,3,0,3,0.130,0,1,5,0,0,1
2020,69418,91,196,182,0.258,47,1,61,0.335,0,7,32,0,3,4
2020,69439,1,1,1,0.000,0,0,0,0.000,0,0,0,0,0,0
2020,69442,34,49,41,0.220,9,0,11,0.268,2,5,16,0,0,0
2020,69453,64,243,206,0.228,47,4,70,0.340,5,26,58,1,2,3
2020,69508,5,8,7,0.429,3,0,3,0.429,0,1,0,0,0,0
2020,69636,59,73,67,0.239,16,4,28,0.418,0,3,26,0,3,2
2020,69652,142,631,542,0.306,166,32,302,0.557,4,76,67,3,9,12
2020,69702,4,5,5,0.400,2,0,2,0.400,0,0,1,0,0,0
2020,69705,25,52,50,0.220,11,0,15,0.300,0,0,22,0,2,0
2020,69706,1,2,2,0.500,1,0,1,0.500,0,0,1,0,0,0
2020,69737,106,387,346,0.220,76,12,134,0.387,1,33,116,1,6,8
2020,69766,30,46,42,0.167,7,0,8,0.190,0,4,18,0,0,0
2020,69804,16,24,23,0.130,3,0,4,0.174,0,1,8,0,0,2
2020,69825,35,90,78,0.192,15,0,21,0.269,1,11,16,0,0,2
2020,69992,49,48,40,0.275,11,0,16,0.400,0,7,13,0,0,1
2020,69995,2,8,8,0.000,0,0,0,0.000,0,0,2,0,0,0
2020,70410,7,18,18,0.333,6,1,9,0.500,0,0,2,0,0,2
2020,71184,72,88,77,0.234,18,3,28,0.364,0,6,14,0,0,3
2020,71564,144,611,542,0.292,158,20,245,0.452,11,53,68,9,5,21
2020,71752,67,254,219,0.219,48,2,65,0.297,2,30,42,3,2,8
2020,71837,122,327,289,0.253,73,12,122,0.422,2,27,62,2,4,10
2020,71842,42,92,86,0.163,14,0,20,0.233,1,2,29,0,0,4
2020,72133,97,236,217,0.300,65,2,86,0.396,4,15,34,1,0,7
2020,72443,140,600,522,0.354,185,28,308,0.590,3,70,101,5,5,9
2020,73113,119,391,324,0.281,91,13,147,0.454,7,48,96,2,9,14
2020,73136,79,248,227,0.203,46,8,75,0.330,0,16,69,0,5,4
2020,73209,64,222,204,0.279,57,6,80,0.392,1,12,44,0,1,6
2020,73306,87,142,121,0.207,25,1,36,0.298,2,15,33,0,2,4
2020,73342,20,64,57,0.193,11,0,16,0.281,0,7,21,0,0,1
2020,74163,120,487,419,0.286,120,1,141,0.337,1,59,36,0,6,9
2020,74206,120,458,402,0.289,116,2,139,0.346,5,45,45,1,4,17
2020,74215,34,76,73,0.192,14,3,25,0.342,1,2,12,0,0,3
2020,74339,119,428,386,0.280,108,11,158,0.409,1,40,51,2,0,9
2020,74465,123,448,356,0.306,109,14,166,0.466,4,75,62,2,10,11
2020,74540,119,393,355,0.287,102,19,173,0.487,3,31,54,2,4,17
2020,74729,84,240,214,0.234,50,8,79,0.369,3,18,59,0,5,11
2020,75125,93,383,309,0.223,69,21,139,0.450,8,57,114,2,9,8
2020,75151,76,203,187,0.241,45,1,55,0.294,3,12,38,1,1,7
2020,75334,127,534,471,0.312,147,16,227,0.482,2,61,92,1,0,12
2020,75566,121,467,403,0.268,108,13,164,0.407,12,49,82,1,2,7
2020,75808,72,177,154,0.240,37,1,44,0.286,1,17,23,1,2,4
2020,75847,133,553,452,0.270,122,33,243,0.538,6,75,98,1,20,7
2020,76100,53,194,164,0.274,45,9,76,0.463,1,28,55,0,1,5
2020,76158,2,4,3,0.333,1,0,1,0.333,0,0,2,0,1,0
2020,76232,130,528,461,0.328,151,33,278,0.603,6,46,47,7,14,11
2020,76249,109,342,309,0.233,72,2,90,0.291,2,21,62,1,5,12
2020,76267,140,574,509,0.306,156,16,241,0.473,10,47,66,5,7,7
2020,76290,142,619,547,0.331,181,22,286,0.523,7,63,53,7,2,9
2020,76313,134,600,541,0.312,169,21,277,0.512,4,47,98,0,5,12
2020,76509,18,52,46,0.217,10,2,17,0.370,0,5,11,0,1,1
2020,76753,94,298,277,0.235,65,9,104,0.375,3,14,69,1,3,17
2020,76802,133,392,343,0.271,93,2,110,0.321,3,30,27,0,5,10
2020,76812,80,251,222,0.185,41,2,55,0.248,1,19,24,3,6,12
2020,76849,136,540,477,0.306,146,2,176,0.369,4,50,78,0,4,6
2020,76869,8,14,14,0.143,2,0,2,0.143,0,0,4,0,0,0
2020,77243,52,62,53,0.264,14,0,15,0.283,0,6,15,0,2,2
2020,77248,85,174,155,0.232,36,5,60,0.387,2,16,49,0,0,3
2020,77463,71,189,160,0.281,45,7,71,0.444,0,29,33,2,0,4
2020,77532,141,611,540,0.352,190,11,266,0.493,7,61,56,4,2,9
2020,77564,87,333,297,0.266,79,5,114,0.384,4,24,66,2,4,8
2020,78122,80,131,113,0.292,33,1,42,0.372,1,6,14,0,4,3
2020,78135,81,323,287,0.296,85,17,157,0.547,2,27,61,1,7,7
2020,78168,135,595,484,0.277,134,5,187,0.386,10,91,58,1,5,8
2020,78217,101,75,70,0.271,19,1,25,0.357,1,3,15,0,0,2
2020,78224,140,614,516,0.266,137,30,255,0.494,6,91,154,3,1,14
2020,78288,126,389,339,0.301,102,3,130,0.383,0,29,44,0,16,7
2020,78361,4,6,5,0.200,1,0,1,0.200,0,1,2,0,0,0
2020,78513,143,628,562,0.279,157,26,271,0.482,3,52,79,0,8,21
2020,78548,130,455,400,0.278,111,13,165,0.413,6,38,64,0,1,15
2020,78603,85,351,303,0.330,100,1,122,0.403,5,40,43,0,2,12
2020,78629,137,556,468,0.291,136,17,208,0.444,6,64,114,1,18,6
2020,78643,52,107,91,0.220,20,5,39,0.429,0,15,29,0,0,2
2020,78756,93,222,197,0.234,46,2,56,0.284,0,16,39,0,3,10
2020,78813,62,149,136,0.301,41,2,61,0.449,2,8,22,1,1,5
2020,79109,141,591,527,0.300,158,10,243,0.461,5,45,116,1,9,4
2020,79113,15,6,6,0.167,1,0,1,0.167,0,0,2,0,0,0
2020,79150,134,371,328,0.247,81,4,111,0.338,2,29,63,0,3,6
2020,79192,109,464,416,0.293,122,15,188,0.452,7,32,69,1,9,12
2020,79215,129,551,487,0.304,148,14,230,0.472,7,42,65,2,12,9
2020,79231,141,559,490,0.298,146,5,194,0.396,5,55,56,3,2,10
2020,79240,117,487,437,0.332,145,7,193,0.442,7,35,28,2,5,10
2020,79290,46,94,86,0.233,20,3,30,0.349,1,6,21,2,1,2
2020,79334,11,37,31,0.129,4,0,4,0.129,1,4,7,0,1,3
2020,79365,112,372,324,0.250,81,12,138,0.426,2,38,68,0,6,10
2020,79402,120,471,404,0.304,123,5,162,0.401,2,55,55,1,8,16
2020,79456,101,289,262,0.309,81,0,95,0.363,1,19,28,1,4,8
2020,79608,124,460,412,0.286,118,8,170,0.413,2,35,47,2,7,11
2020,79705,15,25,18,0.167,3,0,4,0.222,1,3,6,0,1,2
